,Unnamed: 0,attack,client,dst_ip,severity,src_ip
85,1673,Windows SMB Protection Violation,2,10.196.78.138,Critical,10.200.205.231
86,2449,Scanner Enforcement Violation,1,200.75.192.250,High,153.135.64.143
87,2348,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.91.49
88,2301,Scanner Enforcement Violation,1,200.75.192.250,High,43.49.231.27
89,2460,Scanner Enforcement Violation,1,200.75.192.250,High,68.210.89.222
90,3219,Streaming Engine: TCP anomaly detected,3,192.168.98.222,Informational,192.168.98.254
91,521,,2,192.168.198.152,Informational,29.211.2.27
92,1562,Windows SMB Protection Violation,2,10.197.78.13,Critical,10.200.205.230
93,2362,Scanner Enforcement Violation,1,200.75.192.250,High,191.31.160.162
94,575,,2,10.196.224.80,Informational,29.44.170.65
95,1793,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.88.6
96,2105,Web Server Enforcement Violation,1,200.75.192.252,Critical,214.87.233.140
97,2179,Scanner Enforcement Violation,1,200.75.192.254,High,168.144.41.44
98,2144,SSL Enforcement Violation,1,200.75.192.250,Low,201.171.237.220
99,468,,2,10.196.86.68,Informational,191.60.216.52
100,2553,NTP Enforcement Violation,1,200.75.192.252,High,191.244.25.164
101,767,,2,10.196.16.25,Informational,72.211.185.106
102,1041,,2,10.196.142.104,Informational,10.177.66.141
103,2833,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.88.55
104,2600,Scanner Enforcement Violation,1,200.75.192.252,High,171.227.114.81
105,886,,2,10.197.208.87,Informational,153.75.70.44
106,2639,Scanner Enforcement Violation,1,200.75.192.252,High,68.210.89.184
107,3046,Scanner Enforcement Violation,1,200.75.192.254,High,43.49.231.145
108,2839,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.91.39
109,2613,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.91.49
110,733,,2,10.197.90.45,Informational,201.225.2.22
111,1471,Windows SMB Protection Violation,2,10.196.80.23,Critical,10.200.205.231
112,2814,Scanner Enforcement Violation,1,200.75.192.252,High,77.6.142.85
113,333,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.88.21
114,2349,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.91.49
115,1744,Windows SMB Protection Violation,2,10.197.206.12,Critical,10.200.205.230
116,2525,Scanner Enforcement Violation,1,200.75.192.252,High,218.129.0.96
117,139,Windows SMB Protection Violation,2,10.196.92.5,Critical,10.200.205.231
118,895,,2,10.197.90.169,Informational,58.17.137.255
119,2346,Web Server Enforcement Violation,1,200.75.192.250,Critical,146.143.15.82
120,71,DNS Enforcement Violation,2,10.200.105.201,Critical,10.196.208.4
121,2825,Scanner Enforcement Violation,1,200.75.192.254,High,57.75.130.176
122,2155,Scanner Enforcement Violation,1,200.75.192.252,High,40.245.217.44
123,2212,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.91.41
124,1204,,2,10.196.142.104,Informational,10.177.66.141
125,1860,Windows SMB Protection Violation,2,10.197.86.39,Critical,10.200.205.231
126,1899,Windows SMB Protection Violation,2,10.200.44.72,Critical,10.200.205.230
127,2507,NTP Enforcement Violation,1,200.75.192.250,High,68.4.29.76
128,2754,Scanner Enforcement Violation,1,200.75.192.252,High,108.165.37.111
129,209,Scanner Enforcement Violation,2,46.127.197.178,High,10.197.208.130
130,3163,Scanner Enforcement Violation,1,200.75.192.254,High,57.75.130.176
131,3096,Scanner Enforcement Violation,1,200.75.192.252,High,196.24.116.15
132,2857,Streaming Engine: Potential network configuration problem detected,1,8.19.32.109,Informational,200.75.192.252
133,2575,NTP Enforcement Violation,1,200.75.192.252,High,129.206.109.148
134,2663,Application Servers Protection Violation,1,200.75.192.250,Critical,66.246.6.177
135,336,,2,192.168.148.49,Informational,40.200.62.249
136,1705,Windows SMB Protection Violation,2,10.196.78.91,Critical,10.200.205.230
137,1761,Windows SMB Protection Violation,2,10.196.222.19,Critical,10.200.205.231
138,1540,Windows SMB Protection Violation,2,10.197.206.23,Critical,10.200.205.231
139,1914,Windows SMB Protection Violation,2,10.196.142.120,Critical,10.200.205.230
140,2482,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.91.27
141,614,,2,10.196.90.7,Informational,10.177.66.141
142,2511,Scanner Enforcement Violation,1,200.75.192.254,High,64.181.246.63
143,783,,2,10.200.44.26,Informational,29.44.170.65
144,1445,Windows SMB Protection Violation,2,10.200.52.115,Critical,10.200.205.230
145,672,,2,10.196.78.116,Informational,191.33.223.38
146,2603,Scanner Enforcement Violation,1,200.75.192.250,High,204.100.175.108
147,1572,Windows SMB Protection Violation,2,10.196.222.28,Critical,10.200.205.231
148,605,,2,192.168.190.114,Informational,191.64.189.112
149,1290,,2,10.196.222.12,Informational,10.177.110.55
150,536,,2,10.197.202.25,Informational,191.33.223.210
151,2470,Scanner Enforcement Violation,1,200.75.192.250,High,184.211.51.213
152,2769,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.18
153,2249,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.55
154,2093,Web Server Enforcement Violation,1,200.75.192.250,Critical,53.90.92.121
155,266,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.2
156,1128,DNS Enforcement Violation,2,10.200.105.201,Critical,10.196.150.42
157,1654,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.84.4
158,432,,2,10.200.43.31,Informational,94.221.17.106
159,1781,Windows SMB Protection Violation,2,10.197.206.10,Critical,10.200.205.230
160,974,,2,192.168.155.109,Informational,40.251.108.175
161,2510,Scanner Enforcement Violation,1,200.75.192.252,High,64.181.246.63
162,258,,2,10.197.206.52,Informational,219.19.162.26
163,2040,,5,74.67.178.196,Informational,10.0.11.106
164,1695,Windows SMB Protection Violation,2,10.197.208.10,Critical,10.200.205.231
165,1665,Windows SMB Protection Violation,2,10.196.82.20,Critical,10.200.205.230
166,2535,Scanner Enforcement Violation,1,200.75.192.252,High,153.135.79.132
167,897,,2,10.196.90.7,Informational,10.177.66.141
168,1013,,2,10.197.78.74,Informational,80.117.207.64
169,197,Windows SMB Protection Violation,2,10.197.88.13,Critical,10.200.205.231
170,280,DNS Enforcement Violation,2,10.200.105.201,Critical,10.196.94.13
171,649,,2,10.197.208.72,Informational,191.33.223.202
172,3102,Scanner Enforcement Violation,1,200.75.192.252,High,153.135.64.123
173,1364,,2,10.200.44.156,Informational,10.129.48.66
174,119,Windows SMB Protection Violation,2,10.196.80.102,Critical,10.200.205.231
175,2237,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.91.63
176,2417,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.91.39
177,713,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.78.25
178,2407,Scanner Enforcement Violation,1,200.75.192.254,High,153.135.79.132
179,1947,,5,78.21.91.41,Informational,10.0.11.172
180,90,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.80
181,1340,,2,10.196.143.249,Informational,94.221.16.154
182,1452,Windows SMB Protection Violation,2,10.196.222.45,Critical,10.200.205.231
183,1106,,2,10.197.208.87,Informational,40.248.208.147
184,1203,,2,10.196.88.64,Informational,219.19.162.80
185,2373,Scanner Enforcement Violation,1,200.75.192.252,High,87.7.10.253
186,96,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.78.69
187,3161,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.88.18
188,2447,Scanner Enforcement Violation,1,200.75.192.254,High,153.135.64.143
189,1887,Windows SMB Protection Violation,2,10.197.206.121,Critical,10.200.205.231
190,1476,Windows SMB Protection Violation,2,10.200.251.129,Critical,10.200.205.231
191,902,,2,10.197.90.169,Informational,219.19.162.80
192,1677,Windows SMB Protection Violation,2,10.197.207.254,Critical,10.200.205.231
193,1985,,5,29.3.13.114,Informational,10.0.11.102
194,2792,Scanner Enforcement Violation,1,200.75.192.254,High,43.49.231.76
195,1127,,2,192.168.145.184,Informational,160.57.158.53
196,837,,2,10.195.20.76,Informational,10.177.67.36
197,2011,,5,58.2.12.70,Informational,10.0.11.76
198,696,,2,10.196.224.142,Informational,29.43.240.10
199,2195,Scanner Enforcement Violation,1,200.75.192.252,High,57.75.130.176
200,3081,Web Server Enforcement Violation,1,200.75.192.252,Critical,129.206.50.168
201,2452,Scanner Enforcement Violation,1,200.75.192.254,High,57.75.130.176
202,188,DNS Enforcement Violation,2,10.200.105.202,Critical,10.196.94.32
203,2741,Scanner Enforcement Violation,1,200.75.192.252,High,52.17.47.130
204,373,,2,10.196.86.100,Informational,222.58.206.46
205,2313,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.88.18
206,2649,Scanner Enforcement Violation,1,200.75.192.252,High,153.135.64.123
207,2829,NTP Enforcement Violation,1,200.75.192.250,High,191.12.179.138
208,524,,2,10.196.150.38,Informational,69.215.202.137
209,251,Windows SMB Protection Violation,2,10.196.94.15,Critical,10.200.205.230
210,2235,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.91.63
211,409,,2,10.196.86.100,Informational,29.44.170.89
212,1807,Windows SMB Protection Violation,2,10.196.152.31,Critical,10.200.205.230
213,777,,2,10.196.90.7,Informational,10.177.66.141
214,1114,,2,10.197.208.87,Informational,191.33.223.216
215,309,Windows SMB Protection Violation,2,10.197.90.217,Critical,10.200.205.231
216,439,,2,10.196.80.172,Informational,94.221.17.106
217,2307,Scanner Enforcement Violation,1,200.75.192.250,High,43.49.231.15
218,291,,2,10.196.144.51,Informational,78.251.249.13
219,2690,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.88.55
220,1409,Windows SMB Protection Violation,2,10.196.88.67,Critical,10.200.205.230
221,2041,,5,58.73.134.179,Informational,10.0.11.120
222,1211,,2,10.196.90.8,Informational,10.177.66.23
223,2000,,5,211.180.85.137,Informational,10.0.11.76
224,2725,Web Server Enforcement Violation,1,200.75.192.252,Critical,125.28.204.237
225,1454,Windows SMB Protection Violation,2,10.196.224.84,Critical,10.200.205.231
226,3085,SSL Enforcement Violation,1,200.75.192.252,Low,201.171.237.220
227,2662,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.88.4
228,2315,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.91.28
229,2939,Scanner Enforcement Violation,1,200.75.192.250,High,43.49.231.27
230,2559,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.61
231,2077,,5,83.234.42.40,Informational,10.0.11.116
232,2004,,5,58.22.123.34,Informational,10.0.11.73
233,1924,Windows SMB Protection Violation,2,10.197.208.130,Critical,10.200.205.231
234,2883,Web Server Enforcement Violation,1,200.75.192.252,Critical,124.126.112.242
235,914,,2,10.197.78.14,Informational,29.44.168.49
236,1373,Windows SMB Protection Violation,2,10.197.90.143,Critical,10.200.205.231
237,687,DNS Enforcement Violation,2,10.200.105.201,Critical,10.196.96.53
238,75,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.80.3
239,2104,Scanner Enforcement Violation,1,200.75.192.252,High,68.210.89.189
240,2635,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.91.41
241,3089,Scanner Enforcement Violation,1,200.75.192.254,High,43.49.231.76
242,1593,Windows SMB Protection Violation,2,10.196.222.17,Critical,10.200.205.231
243,220,Windows SMB Protection Violation,2,10.196.224.58,Critical,10.200.205.230
244,2388,Scanner Enforcement Violation,1,200.75.192.254,High,115.110.38.6
245,3126,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.91.59
246,45,Windows SMB Protection Violation,2,10.197.204.12,Critical,10.200.205.231
247,2966,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.88.61
248,1867,Windows SMB Protection Violation,2,10.197.206.13,Critical,10.200.205.231
249,1179,,2,10.196.224.13,Informational,29.44.170.65
250,630,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.209
251,745,DNS Enforcement Violation,2,10.200.105.201,Critical,10.200.43.10
252,3106,Scanner Enforcement Violation,1,200.75.192.250,High,153.135.64.143
253,910,,2,60.161.96.219,Informational,192.168.172.87
254,1979,,5,29.3.13.114,Informational,10.0.11.102
255,456,,2,10.200.41.24,Informational,78.21.81.253
256,1105,,2,192.168.152.116,Informational,94.221.17.183
257,371,,2,10.196.86.127,Informational,94.221.16.8
258,2121,Scanner Enforcement Violation,1,200.75.192.250,High,43.49.231.76
259,460,,2,10.196.86.68,Informational,191.60.216.52
260,1806,Windows SMB Protection Violation,2,10.196.224.120,Critical,10.200.205.230
261,1749,Windows SMB Protection Violation,2,10.196.80.124,Critical,10.200.205.231
262,3145,NTP Enforcement Violation,1,200.75.192.252,High,200.36.173.101
263,2296,Scanner Enforcement Violation,1,200.75.192.252,High,78.9.130.135
264,2189,Web Server Enforcement Violation,1,200.75.192.250,Medium,210.13.201.137
265,339,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.27
266,741,,2,192.168.146.136,Informational,29.214.154.30
267,3043,NTP Enforcement Violation,1,200.75.192.250,High,191.216.32.134
268,1064,,2,192.168.198.152,Informational,94.221.17.183
269,606,,2,192.168.190.114,Informational,191.33.223.206
270,1657,Windows SMB Protection Violation,2,10.197.206.141,Critical,10.200.205.231
271,321,Windows SMB Protection Violation,2,10.196.0.3,Critical,10.200.205.231
272,410,,2,10.196.86.100,Informational,29.44.170.89
273,507,,2,10.196.88.67,Informational,43.252.172.70
274,2334,Scanner Enforcement Violation,1,200.75.192.254,High,102.4.166.79
275,591,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.86.93
276,1472,Windows SMB Protection Violation,2,10.196.150.49,Critical,10.200.205.231
277,530,,2,10.196.78.116,Informational,191.33.223.215
278,1660,Windows SMB Protection Violation,2,10.200.43.123,Critical,10.200.205.230
279,1948,,5,157.101.250.49,Informational,10.0.11.172
280,1913,Windows SMB Protection Violation,2,10.196.142.172,Critical,10.200.205.230
281,1045,,2,192.168.192.32,Informational,43.157.4.41
282,213,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.80.17
283,1684,Windows SMB Protection Violation,2,10.196.86.127,Critical,10.200.205.231
284,2793,Scanner Enforcement Violation,1,200.75.192.250,High,43.49.231.76
285,544,,2,10.197.202.25,Informational,219.19.162.61
286,2848,Scanner Enforcement Violation,1,200.75.192.254,High,191.31.160.162
287,2616,Scanner Enforcement Violation,1,200.75.192.250,High,43.49.231.198
288,1980,,5,29.3.13.114,Informational,10.0.11.102
289,1598,Windows SMB Protection Violation,2,10.197.80.12,Critical,10.200.205.230
290,2325,Scanner Enforcement Violation,1,200.75.192.252,High,68.210.103.169
291,698,,2,10.196.224.142,Informational,29.43.240.10
292,236,Windows SMB Protection Violation,2,10.197.204.2,Critical,10.200.205.230
293,746,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.86.44
294,1977,,5,29.3.13.114,Informational,10.0.11.102
295,2744,Scanner Enforcement Violation,1,200.75.192.250,High,68.210.89.215
296,1052,,2,10.196.142.104,Informational,10.177.66.141
297,1356,,2,10.200.44.156,Informational,10.129.48.65
298,714,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.30
299,3167,Scanner Enforcement Violation,1,200.75.192.252,High,100.102.49.190
300,465,,2,10.200.41.119,Informational,10.177.110.23
301,2937,Scanner Enforcement Violation,1,200.75.192.250,High,68.210.103.172
302,564,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.122
303,2239,Scanner Enforcement Violation,1,200.75.192.252,High,191.142.236.35
304,1876,Windows SMB Protection Violation,2,10.196.90.7,Critical,10.200.205.230
305,2544,Application Servers Protection Violation,1,200.75.192.252,Critical,134.72.43.167
306,3185,Streaming Engine: TCP anomaly detected,4,10.12.30.10,Informational,10.12.50.58
307,758,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.80.1
308,2038,Streaming Engine: TCP anomaly detected,5,80.200.56.18,Informational,10.0.11.120
309,2321,Scanner Enforcement Violation,1,200.75.192.254,High,153.135.64.123
310,1302,,2,10.196.86.85,Informational,110.103.151.206
311,2627,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.88.61
312,710,DNS Enforcement Violation,2,10.200.105.201,Critical,10.196.96.9
313,2638,Scanner Enforcement Violation,1,200.75.192.254,High,68.210.89.184
314,2956,Scanner Enforcement Violation,1,200.75.192.250,High,43.49.231.76
315,451,,2,10.196.222.166,Informational,10.177.66.66
316,108,Windows SMB Protection Violation,2,10.196.224.130,Critical,10.200.205.230
317,2395,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.2
318,1395,Windows SMB Protection Violation,2,10.196.142.33,Critical,10.200.205.231
319,2047,,5,10.0.11.13,Informational,10.0.12.82
320,1440,Windows SMB Protection Violation,2,10.200.47.27,Critical,10.200.205.230
321,2963,Scanner Enforcement Violation,1,200.75.192.250,High,222.244.80.226
322,1507,Windows SMB Protection Violation,2,10.196.74.12,Critical,10.200.205.231
323,1383,Windows SMB Protection Violation,2,10.196.0.20,Critical,10.200.205.230
324,1773,Windows SMB Protection Violation,2,10.196.76.15,Critical,10.200.205.230
325,1434,Windows SMB Protection Violation,2,10.196.94.61,Critical,10.200.205.230
326,1721,Windows SMB Protection Violation,2,10.196.222.62,Critical,10.200.205.230
327,2116,SSL Enforcement Violation,1,200.75.192.252,Low,201.171.237.220
328,497,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.206.82
329,909,,2,10.196.222.45,Informational,43.252.172.27
330,1736,Windows SMB Protection Violation,2,10.196.12.17,Critical,10.200.205.231
331,1287,,2,192.168.143.65,Informational,58.17.137.255
332,2618,Scanner Enforcement Violation,1,200.75.192.252,High,43.49.231.198
333,1908,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.48
334,3041,NTP Enforcement Violation,1,200.75.192.254,High,191.184.54.2
335,2029,,5,58.87.111.8,Informational,10.0.11.116
336,1909,DNS Enforcement Violation,2,10.200.105.201,Critical,10.196.94.69
337,2273,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.91.59
338,2091,Apache Struts2 ParametersInterceptor remote command execution,1,200.75.192.250,Critical,53.90.92.121
339,751,,2,10.196.78.116,Informational,46.114.54.223
340,2074,,5,10.0.0.15,Informational,10.0.11.76
341,2896,Scanner Enforcement Violation,1,200.75.192.250,High,191.53.88.55
342,2968,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.55
343,490,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.80.22
344,3129,Scanner Enforcement Violation,1,200.75.192.252,High,43.49.231.15
345,535,,2,10.197.202.25,Informational,158.195.14.112
346,1197,DNS Enforcement Violation,2,10.200.105.201,Critical,10.195.18.20
347,1539,Windows SMB Protection Violation,2,10.196.224.20,Critical,10.200.205.231
348,558,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.90.65
349,2137,Scanner Enforcement Violation,1,200.75.192.250,High,153.135.64.143
350,1862,Windows SMB Protection Violation,2,10.197.204.38,Critical,10.200.205.230
351,1783,Windows SMB Protection Violation,2,10.196.142.59,Critical,10.200.205.230
352,149,Windows SMB Protection Violation,2,10.196.142.122,Critical,10.200.205.231
353,1727,Windows SMB Protection Violation,2,10.197.204.17,Critical,10.200.205.230
354,1103,,2,10.196.224.108,Informational,29.44.170.89
355,2430,Scanner Enforcement Violation,1,200.75.192.250,High,100.124.216.26
356,1982,,5,29.3.13.114,Informational,10.0.11.102
357,101,DNS Enforcement Violation,2,10.200.105.201,Critical,10.197.206.126
358,2309,Scanner Enforcement Violation,1,200.75.192.254,High,43.49.231.15
359,2752,NTP Enforcement Violation,1,200.75.192.254,High,191.216.32.134
360,441,Streaming Engine: TCP anomaly detected,2,10.197.86.15,Informational,10.200.105.200
361,79,Windows SMB Protection Violation,2,10.196.152.23,Critical,10.200.205.230
362,1271,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.84.14
363,2569,Application Servers Protection Violation,1,200.75.192.250,High,190.105.139.111
364,2020,,5,55.246.178.107,Informational,10.0.11.83
365,1308,,2,10.197.78.31,Informational,191.64.189.110
366,2986,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.88.2
367,1473,Windows SMB Protection Violation,2,10.196.142.30,Critical,10.200.205.231
368,316,Windows SMB Protection Violation,2,10.197.208.71,Critical,10.200.205.231
369,1989,,5,210.154.111.134,Informational,10.0.11.73
370,1610,Windows SMB Protection Violation,2,10.197.204.4,Critical,10.200.205.230
371,2845,Scanner Enforcement Violation,1,200.75.192.252,High,43.49.231.200
372,1421,Windows SMB Protection Violation,2,10.196.94.82,Critical,10.200.205.230
373,444,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.86.45
374,2515,Scanner Enforcement Violation,1,200.75.192.254,High,43.49.231.72
375,243,Windows SMB Protection Violation,2,10.196.86.12,Critical,10.200.205.230
376,1316,,2,10.200.43.26,Informational,191.33.223.208
377,2942,Scanner Enforcement Violation,1,200.75.192.252,High,191.53.91.59
378,706,,2,10.195.142.68,Informational,10.177.110.23
379,2806,NTP Enforcement Violation,1,200.75.192.250,High,199.29.15.20
380,467,,2,10.196.92.4,Informational,10.177.66.141
381,1582,Windows SMB Protection Violation,2,10.196.144.24,Critical,10.200.205.231
382,1557,Windows SMB Protection Violation,2,10.196.80.42,Critical,10.200.205.231
383,325,Windows SMB Protection Violation,2,10.196.84.24,Critical,10.200.205.231
384,912,,2,10.197.90.171,Informational,29.44.170.89
385,2777,Scanner Enforcement Violation,1,200.75.192.254,High,191.53.91.41
386,890,,2,10.196.142.73,Informational,78.21.81.253
387,2037,,5,157.101.250.49,Informational,10.0.11.116
388,2513,Scanner Enforcement Violation,1,200.75.192.252,High,218.129.20.175
389,1664,DNS Enforcement Violation,2,10.200.105.200,Critical,10.196.86.19
390,2046,,5,40.230.151.165,Informational,10.0.11.80
